"location.long","location.lat","timestamp","burst_","step_id_","case_","x1_","y1_","x2_","y2_","t1_","t2_","dt_","sl_","ta_","individual.local.identifier","utm.northing","x2_.1"
-8.50300670493072,TRUE,"2014-04-13 14:59:41",2,31,FALSE,4968221.16318351,-1185077.18737164,4968077.63358019,-1184829.60914554,"2014-04-13 14:59:41","2014-04-13 15:15:35",15.9,313.976720932298,-79.6358419464881,"B3",-1184829.60914554,-1.31554184925463
-8.50300902122988,TRUE,"2014-04-13 09:16:57",1,12,FALSE,4968331.81925982,-1185126.83319139,4968299.33222867,-1184855.35283643,"2014-04-13 09:16:57","2014-04-13 09:32:22",15.4166666666667,114.278934959911,-104.955100219244,"B3",-1184855.35283643,-1.31392958419805
-8.50301263486772,TRUE,"2014-04-13 14:28:14",2,29,FALSE,4968361.8474339,-1185004.72232738,4968047.95391881,-1184827.03622071,"2014-04-13 14:28:14","2014-04-13 14:43:57",15.7166666666667,380.86318318004,15.1058904650564,"B3",-1184827.03622071,-1.31575697329758
-8.50301736126519,TRUE,"2014-04-17 12:51:34",16,154,FALSE,4968017.61577721,-1185187.51369723,4968043.06846711,-1184827.13760356,"2014-04-17 12:51:34","2014-04-17 13:06:58",15.4,340.618892793118,-143.017260288152,"B3",-1184827.13760356,-1.31579195215701
-8.50302282667292,TRUE,"2014-04-13 11:53:27",1,22,FALSE,4968417.48138112,-1185051.83573169,4968502.90514429,-1184880.62771498,"2014-04-13 11:53:27","2014-04-13 12:09:12",15.75,178.36352816461,-118.309160691083,"B3",-1184880.62771498,-1.312447819214
-8.50303798891483,TRUE,"2014-04-13 08:14:56",1,8,FALSE,4968222.79856826,-1185183.19535634,4967746.40720224,-1184796.01266916,"2014-04-13 08:14:56","2014-04-13 08:30:20",15.4,633.931600615171,2.42110943527629,"B3",-1184796.01266916,-1.3179466958957
-8.50303843756491,TRUE,"2014-04-14 11:42:01",5,50,FALSE,4967336.44783915,-1184912.75643314,4967168.01307228,-1184729.77060288,"2014-04-14 11:42:01","2014-04-14 11:57:44",15.7166666666667,254.108245306422,-161.067407592427,"B3",-1184729.77060288,-1.32215250342003
-8.50305747066164,TRUE,"2014-04-14 11:57:44",5,51,FALSE,4967333.94277822,-1184920.03549624,4967360.52878814,-1184754.50246791,"2014-04-14 11:57:44","2014-04-14 12:13:17",15.55,151.474298147164,114.491703001859,"B3",-1184754.50246791,-1.32075038681477
-8.50306123928694,TRUE,"2014-04-14 12:29:05",5,53,FALSE,4967415.73195938,-1184888.40185791,4967670.88944767,-1184790.60908758,"2014-04-14 12:29:05","2014-04-14 12:46:33",17.4666666666667,297.949776319672,-56.006084191721,"B3",-1184790.60908758,-1.3184931417155
-8.50310498435898,TRUE,"2014-04-13 11:05:42",1,19,FALSE,4968449.66987863,-1184947.33479144,4968492.39234716,-1184890.92173019,"2014-04-13 11:05:42","2014-04-13 11:22:17",16.5833333333333,82.9039960984412,-156.05022272264,"B3",-1184890.92173019,-1.3125147937212
-8.50311445548554,TRUE,"2014-04-16 10:16:48",12,113,FALSE,4967838.61095643,-1185113.10253862,4967702.26433012,-1184801.65402104,"2014-04-16 10:16:48","2014-04-16 10:32:12",15.4,326.698908303839,-16.8482362586224,"B3",-1184801.65402104,-1.31825887212448
-8.50313346714114,TRUE,"2014-04-16 10:47:35",12,115,FALSE,4967716.82692392,-1185164.20959156,4967888.34357313,-1184825.64840042,"2014-04-16 10:47:35","2014-04-16 11:02:52",15.2833333333333,383.751370417041,1.10744639297006,"B3",-1184825.64840042,-1.31690362782753
-8.5031346194396,TRUE,"2014-04-13 10:03:09",1,15,FALSE,4968449.34568383,-1184992.64167349,4968487.75823681,-1184894.53832162,"2014-04-13 10:03:09","2014-04-13 10:18:35",15.4333333333333,107.567050802791,-49.0598510435675,"B3",-1184894.53832162,-1.31254507451126
-8.50314479468597,TRUE,"2014-04-13 11:05:42",1,19,FALSE,4968449.66987863,-1184947.33479144,4968194.59693224,-1184862.34737587,"2014-04-13 11:05:42","2014-04-13 11:22:17",16.5833333333333,273.837332169405,153.565693278745,"B3",-1184862.34737587,-1.31467548580021
-8.5031641856256,TRUE,"2014-04-13 10:49:45",1,18,FALSE,4968457.88171952,-1184982.56909625,4968576.79588086,-1184908.88664187,"2014-04-13 10:49:45","2014-04-13 11:05:42",15.95,124.975349453594,138.542794670306,"B3",-1184908.88664187,-1.31189428532954
-8.50316845277881,TRUE,"2014-04-13 11:53:27",1,22,FALSE,4968417.48138112,-1185051.83573169,4968249.96337545,-1184872.00704483,"2014-04-13 11:53:27","2014-04-13 12:09:12",15.75,235.271168733644,172.009171871223,"B3",-1184872.00704483,-1.3142701857035
